1020_longest-turbulent-subarray	滑动窗口
1062_partition-array-into-three-parts-with-equal-sum	前缀和与差分
1066_fixed-point	二分搜索
1149_intersection-of-three-sorted-arrays	数组双指针
1421_find-numbers-with-even-number-of-digits	数学技巧
146_lru-cache	栈与队列
1537_maximum-score-after-splitting-a-string	前缀和与差分
153_find-minimum-in-rotated-sorted-array	二分搜索
154_find-minimum-in-rotated-sorted-array-ii	二分搜索
162_find-peak-element	二分搜索
1646_kth-missing-positive-number	二分搜索
1661_minimum-number-of-vertices-to-reach-all-nodes	图论
1693_sum-of-all-odd-length-subarrays	前缀和与差分
169_majority-element	数学技巧
1764_maximum-repeating-substring	动态规划
1847_largest-subarray-length-k	贪心
187_repeated-dna-sequences	滑动窗口
190_reverse-bits	数学技巧
1916_find-center-of-star-graph	图论
191_number-of-1-bits	数学技巧
1993_sum-of-all-subset-xor-totals	回溯
1_two-sum	数组双指针
2032_largest-odd-number-in-string	贪心
2102_find-the-middle-index-in-array	前缀和与差分
2199_two-furthest-houses-with-different-colors	数组双指针
219_contains-duplicate-ii	滑动窗口
2442_number-of-arithmetic-triplets	数组双指针
2459_minimum-hours-of-training-to-win-a-competition	贪心
2524_largest-positive-integer-that-exists-with-its-negative	数组双指针
2561_number-of-distinct-averages	数组双指针
2571_find-the-pivot-integer	前缀和与差分
259_3sum-smaller	数组双指针
2663_distribute-money-to-maximum-children	贪心
2714_left-and-right-sum-differences	前缀和与差分
2715_k-items-with-the-maximum-sum	贪心
2767_maximum-sum-with-exactly-k-elements	数学技巧
277_find-the-celebrity	数学技巧
278_first-bad-version	二分搜索
2866_longest-even-odd-subarray-with-threshold	滑动窗口
3143_longest-unequal-adjacent-groups-subsequence-i	贪心
3252_count-the-number-of-incremovable-subarrays-i	数组双指针
3311_ant-on-the-boundary	前缀和与差分
338_counting-bits	动态规划
33_search-in-rotated-sorted-array	二分搜索
3616_make-array-elements-equal-to-zero	前缀和与差分
367_valid-perfect-square	二分搜索
3702_maximum-subarray-with-equal-products	滑动窗口
3704_count-partitions-with-even-sum-difference	前缀和与差分
374_guess-number-higher-or-lower	二分搜索
3788_maximum-unique-subarray-sum-after-deletion	贪心
3790_fruits-into-baskets-ii	贪心
400_nth-digit	数学技巧
413_arithmetic-slices	滑动窗口
441_arranging-coins	二分搜索
456_132-pattern	单调栈
594_longest-harmonious-subsequence	滑动窗口
694_number-of-distinct-islands	图论
69_sqrtx	二分搜索
711_number-of-distinct-islands-ii	图论
718_maximum-length-of-repeated-subarray	动态规划
724_find-pivot-index	前缀和与差分
74_search-a-2d-matrix	二分搜索
816_design-hashset	链表双指针
817_design-hashmap	链表双指针
81_search-in-rotated-sorted-array-ii	二分搜索
890_lemonade-change	贪心
89_gray-code	回溯
914_random-point-in-non-overlapping-rectangles	前缀和与差分
979_di-string-match	贪心
